ngram_range,min_df,max_features,vocab_size,P@10,nDCG@10,MRR,tuning
"(1, 1)",2,10000,10000,0.5,0.5919,1.0,C_tfidf
"(1, 1)",2,15000,10634,0.5,0.5919,1.0,C_tfidf
"(1, 1)",2,20000,10634,0.5,0.5919,1.0,C_tfidf
"(1, 1)",3,10000,8499,0.4,0.5225,1.0,C_tfidf
"(1, 1)",3,15000,8499,0.4,0.5225,1.0,C_tfidf
"(1, 1)",3,20000,8499,0.4,0.5225,1.0,C_tfidf
"(1, 1)",5,10000,6499,0.4,0.5225,1.0,C_tfidf
"(1, 1)",5,15000,6499,0.4,0.5225,1.0,C_tfidf
"(1, 1)",5,20000,6499,0.4,0.5225,1.0,C_tfidf
"(1, 2)",2,15000,15000,0.4,0.4074,0.5,C_tfidf
"(1, 2)",3,10000,10000,0.4,0.4074,0.5,C_tfidf
"(1, 2)",5,10000,10000,0.4,0.4074,0.5,C_tfidf
"(1, 2)",2,10000,10000,0.4,0.4007,0.5,C_tfidf
"(1, 2)",3,15000,15000,0.4,0.4007,0.5,C_tfidf
"(1, 2)",2,20000,20000,0.4,0.4007,0.5,C_tfidf
"(1, 2)",3,20000,20000,0.4,0.4007,0.5,C_tfidf
"(1, 2)",5,15000,15000,0.4,0.4007,0.5,C_tfidf
"(1, 2)",5,20000,20000,0.4,0.4007,0.5,C_tfidf
"(1, 3)",2,15000,15000,0.4,0.3922,0.5,C_tfidf
"(1, 3)",5,15000,15000,0.4,0.3922,0.5,C_tfidf
"(1, 3)",3,15000,15000,0.4,0.3922,0.5,C_tfidf
"(1, 3)",5,20000,20000,0.4,0.3854,0.5,C_tfidf
"(1, 3)",2,20000,20000,0.4,0.3854,0.5,C_tfidf
"(1, 3)",3,20000,20000,0.4,0.3854,0.5,C_tfidf
"(1, 3)",2,10000,10000,0.4,0.3758,0.5,C_tfidf
"(1, 3)",3,10000,10000,0.4,0.3758,0.5,C_tfidf
"(1, 3)",5,10000,10000,0.4,0.3758,0.5,C_tfidf
